food,food_group_id,quantity,unity,gross_weight,net_weight,energy,proteins,lipids,carbohydrates,fiber,vitamin_A,ascorbic_acid,folic_acid,airon_NO,potassium,glycemic_iex,glycemic_charge,sugar_equivalent,,,,,,,,,
Acelga cruda,1,2,taza,120,98,22,2.2,0.1,4.3,3.6,310.9,29.5,14.8,2.5,749.8,64,2.7,0,,,,,,,,,
Acelga picada cocida,1,0.5,taza,72,72,19,1.9,0.1,3.9,2.1,275.8,17.9,10.1,1.4,654.5,64,2.5,0,,,,,,,,,
Alcachofa mediana cocida,1,1,pieza,120,48,25,1.4,0.2,5.7,4.1,0.5,3.6,42.7,0.3,137.3,0,0,0,,,,,,,,,
Apio cocido,1,0.75,taza,113,113,20,0.9,0.2,4.5,1.8,29.3,6.9,24.8,0.5,319.5,0,0,0,,,,,,,,,
Apio crudo,1,1.5,taza,152,135,22,0.9,0.2,4,2.5,29.7,4.2,48.5,0.3,350.6,0,0,0,,,,,,,,,
Ar�gula. cruda,1,4,taza,80,80,20,2.1,0.5,2.9,3.5,95.2,12,77.6,1.2,295.2,0,0,0,,,,,,,,,
Berenjena picada cocida,1,1,taza,99,99,35,0.8,0.2,8.6,2.5,2,1.3,13.9,0.4,245.4,0,0,0,,,,,,,,,
Berro crudo,1,2,taza,68,56,34,1.3,0.1,0.7,0.3,46.3,6.7,35.7,1.2,100.4,0,0,0,,,,,,,,,
Betabel crudo,1,0.25,pieza,43,39,19,0.8,0.1,4.3,0.3,0.8,7.8,36.4,0.6,131,0,0,0,,,,,,,,,
Betabel crudo rallado,1,0.25,taza,38,38,18,0.8,0.1,4.1,0.3,0.8,7.5,34.9,0.6,125.6,0,0,0,,,,,,,,,
Bledos crudos,1,150,g,150,95,27,2.4,0.3,3.8,0.9,189.5,40.6,80.3,4.1,577.4,0,0,0,,,,,,,,,
Br�coli cocido,1,0.5,taza,92,92,26,2.7,0.4,4.6,2.7,127.4,68.4,46,0.8,268.9,0,0,0,,,,,,,,,
Br�coli crudo,1,1,taza,88,71,19,2.1,0.3,3.7,2.1,110.2,66.4,50.2,0.6,231.7,0,0,0,,,,,,,,,
Calabacita alargada cruda,1,1,pieza,111,91,21,1.6,0.1,3.4,1.4,12.3,11.8,23.7,0.5,183.9,0,0,0,,,,,,,,,
Calabacita redoa cruda,1,1,pieza,100,79,18,1.4,0.1,2.9,1.2,10.7,10.3,20.5,0.4,159.6,0,0,0,,,,,,,,,
Calabacita de Castilla cocida,1,0.5,taza,110,110,22,0.8,0.1,5.4,1.2,275,5.2,9.9,0.6,253,0,0,0,,,,,,,,,
Cebolla blanca rebanada,1,0.5,taza,58,58,23,0.6,0.1,5.4,1,0,4.3,10.9,0.1,84,0,0,0,,,,,,,,,
Cebolla cocida,1,0.25,taza,53,53,23,0.7,0.1,5.3,0.7,0,2.7,7.9,0.1,87,0,0,0,,,,,,,,,
Cebolla morada rebanada,1,0.5,taza,58,58,20,0.5,0.1,4.4,0.7,0,6.3,0,0.8,90.3,0,0,0,,,,,,,,,
Cebollita de cambray sin ra�z,1,3,pieza,75,72,23,1.3,0.1,5.3,1.9,36,13.5,46.1,1.1,198.7,0,0,0,,,,,,,,,
Cebollita en salmuera,1,0.5,taza,95,95,24,0.9,0.2,6.7,1.6,0,0,0,0,0,0,0,0,,,,,,,,,
Champi�on cocido entero,1,0.5,taza,78,78,20,2.8,0.3,3.2,1.4,0,0,15.6,0.2,308.9,0,0,0,,,,,,,,,
Champi�on cocido rebanado,1,0.5,taza,70,70,18,2.5,0.2,2.8,1.3,0,0,14,0.2,277.2,0,0,0,,,,,,,,,
Champi�on crudo entero,1,1,taza,96,93,20,2.9,0.3,3.1,0.9,0,2,14.9,0.5,296.1,0,0,0,,,,,,,,,
Champ��on crudo rebanado,1,1.5,taza,105,105,23,3.2,0.4,3.4,1.1,0,2.2,16.8,0.5,333.9,0,0,0,,,,,,,,,
Chayote cocido picado,1,0.5,taza,80,80,19,0.5,0.4,4.1,2.2,1.6,6.4,14.4,0.2,138.4,0,0,0,,,,,,,,,
